family,n,m,alg,opt,ratio
gnp,7,13,3,3,1.000000
gnp,8,11,4,4,1.000000
gnp,13,55,3,3,1.000000
gnp,16,78,4,4,1.000000
gnp,16,19,10,10,1.000000
gnp,9,12,4,4,1.000000
gnp,7,13,3,3,1.000000
gnp,7,10,3,3,1.000000
gnp,13,58,3,3,1.000000
gnp,6,1,5,5,1.000000
gnp,6,4,4,4,1.000000
gnp,11,22,4,4,1.000000
gnp,11,45,3,3,1.000000
gnp,13,46,4,4,1.000000
gnp,6,4,4,4,1.000000
gnp,13,17,7,7,1.000000
gnp,9,22,3,3,1.000000
gnp,15,53,5,5,1.000000
gnp,15,70,3,3,1.000000
gnp,9,22,3,3,1.000000
gnp,6,1,5,5,1.000000
gnp,10,41,2,2,1.000000
gnp,10,34,2,2,1.000000
gnp,9,22,3,3,1.000000
gnp,6,7,3,3,1.000000
gnp,6,12,2,2,1.000000
gnp,6,5,4,4,1.000000
gnp,7,4,4,4,1.000000
gnp,16,68,5,5,1.000000
gnp,9,32,2,2,1.000000
gnp,15,61,4,4,1.000000
gnp,14,38,5,5,1.000000
gnp,11,38,3,3,1.000000
gnp,8,7,5,5,1.000000
gnp,7,2,5,5,1.000000
gnp,13,43,4,4,1.000000
gnp,16,25,8,8,1.000000
gnp,14,12,9,9,1.000000
gnp,13,44,4,4,1.000000
gnp,9,33,2,2,1.000000
gnp,16,25,8,8,1.000000
gnp,16,37,7,7,1.000000
gnp,10,27,4,4,1.000000
gnp,9,7,5,5,1.000000
gnp,13,32,4,4,1.000000
gnp,11,25,4,4,1.000000
gnp,8,17,3,3,1.000000
gnp,7,11,3,3,1.000000
gnp,11,15,5,5,1.000000
gnp,8,10,5,5,1.000000
gnp,14,23,7,7,1.000000
gnp,16,29,7,7,1.000000
gnp,9,24,3,3,1.000000
gnp,11,42,3,3,1.000000
gnp,6,10,3,3,1.000000
gnp,15,20,7,7,1.000000
gnp,16,22,8,8,1.000000
gnp,6,5,3,3,1.000000
gnp,14,30,7,7,1.000000
gnp,8,20,3,3,1.000000
gnp,7,12,3,3,1.000000
gnp,9,24,3,3,1.000000
gnp,10,37,2,2,1.000000
gnp,13,21,5,5,1.000000
gnp,11,42,3,3,1.000000
gnp,7,4,4,4,1.000000
gnp,10,10,5,5,1.000000
gnp,9,30,2,2,1.000000
gnp,12,41,3,3,1.000000
gnp,6,9,3,3,1.000000
gnp,13,33,5,5,1.000000
gnp,7,8,4,4,1.000000
gnp,6,9,3,3,1.000000
gnp,6,13,2,2,1.000000
gnp,7,15,2,2,1.000000
gnp,9,27,2,2,1.000000
gnp,8,8,4,4,1.000000
gnp,7,11,3,3,1.000000
gnp,7,7,5,5,1.000000
gnp,14,48,4,4,1.000000
gnp,6,8,3,3,1.000000
gnp,12,13,7,7,1.000000
gnp,14,40,5,5,1.000000
gnp,11,29,4,4,1.000000
gnp,15,77,3,3,1.000000
gnp,13,27,5,5,1.000000
gnp,12,34,4,4,1.000000
gnp,6,9,3,3,1.000000
gnp,9,17,4,4,1.000000
gnp,7,8,4,4,1.000000
gnp,15,91,3,3,1.000000
gnp,8,22,2,2,1.000000
gnp,11,43,3,3,1.000000
gnp,6,9,2,2,1.000000
gnp,8,17,3,3,1.000000
gnp,8,10,4,4,1.000000
gnp,14,24,6,6,1.000000
gnp,14,20,7,7,1.000000
gnp,8,16,3,3,1.000000
gnp,6,4,4,4,1.000000
gnp,10,17,4,4,1.000000
gnp,16,30,8,8,1.000000
gnp,14,64,3,3,1.000000
gnp,12,58,3,3,1.000000
gnp,15,53,4,4,1.000000
gnp,6,10,3,3,1.000000
gnp,8,6,5,5,1.000000
gnp,6,2,5,5,1.000000
gnp,9,26,3,3,1.000000
gnp,13,40,4,4,1.000000
gnp,7,7,4,4,1.000000
gnp,6,11,2,2,1.000000
gnp,14,15,8,8,1.000000
gnp,6,7,3,3,1.000000
gnp,9,3,7,7,1.000000
gnp,11,31,3,3,1.000000
gnp,13,35,4,4,1.000000
gnp,12,57,3,3,1.000000
gnp,15,54,6,6,1.000000
gnp,7,17,2,2,1.000000
gnp,15,20,8,8,1.000000
gnp,13,30,4,4,1.000000
gnp,8,15,4,4,1.000000
gnp,7,19,2,2,1.000000
gnp,10,12,6,6,1.000000
gnp,7,13,3,3,1.000000
gnp,8,9,4,4,1.000000
gnp,9,29,3,3,1.000000
gnp,13,12,8,8,1.000000
gnp,11,21,6,6,1.000000
gnp,12,44,4,4,1.000000
gnp,13,65,3,3,1.000000
gnp,12,21,6,6,1.000000
gnp,8,7,4,4,1.000000
gnp,11,19,6,6,1.000000
gnp,15,40,5,5,1.000000
gnp,10,27,4,4,1.000000
gnp,12,29,5,5,1.000000
gnp,16,39,6,6,1.000000
gnp,9,19,4,4,1.000000
gnp,6,6,3,3,1.000000
gnp,8,14,4,4,1.000000
gnp,8,14,3,3,1.000000
gnp,7,5,5,5,1.000000
gnp,10,16,5,5,1.000000
gnp,16,37,6,6,1.000000
gnp,16,57,5,5,1.000000
gnp,10,34,3,3,1.000000
gnp,16,71,4,4,1.000000
gnp,14,66,3,3,1.000000
gnp,15,85,3,3,1.000000
gnp,16,38,7,7,1.000000
gnp,7,11,3,3,1.000000
gnp,10,15,5,5,1.000000
gnp,9,27,3,3,1.000000
gnp,13,65,3,3,1.000000
gnp,11,34,3,3,1.000000
gnp,14,25,7,7,1.000000
gnp,10,41,2,2,1.000000
gnp,9,9,4,4,1.000000
gnp,16,60,5,5,1.000000
gnp,6,6,4,4,1.000000
gnp,11,41,4,4,1.000000
gnp,15,68,4,4,1.000000
gnp,11,35,4,4,1.000000
gnp,15,66,4,4,1.000000
gnp,16,57,5,5,1.000000
gnp,11,46,2,2,1.000000
gnp,11,29,4,4,1.000000
gnp,12,20,5,5,1.000000
gnp,7,8,4,4,1.000000
gnp,8,8,5,5,1.000000
gnp,10,23,3,3,1.000000
gnp,15,42,5,5,1.000000
gnp,14,15,8,8,1.000000
gnp,8,19,3,3,1.000000
gnp,11,35,3,3,1.000000
gnp,15,48,5,5,1.000000
gnp,13,15,7,7,1.000000
gnp,6,8,3,3,1.000000
gnp,8,12,4,4,1.000000
gnp,10,10,5,5,1.000000
gnp,10,9,7,7,1.000000
gnp,16,74,3,3,1.000000
gnp,9,24,3,3,1.000000
gnp,12,45,4,4,1.000000
gnp,11,44,3,3,1.000000
gnp,6,7,3,3,1.000000
gnp,9,19,4,4,1.000000
gnp,9,5,6,6,1.000000
gnp,6,8,3,3,1.000000
gnp,13,65,3,3,1.000000
gnp,8,2,6,6,1.000000
gnp,7,8,3,3,1.000000
gnp,7,19,2,2,1.000000
gnp,11,12,6,6,1.000000
gnp,16,40,6,6,1.000000
gnp,12,57,2,2,1.000000
gnp,10,13,5,5,1.000000
gnp,6,3,4,4,1.000000
gnp,16,97,3,3,1.000000
gnp,14,43,4,4,1.000000
gnp,8,6,5,5,1.000000
gnp,13,29,5,5,1.000000
gnp,12,47,3,3,1.000000
gnp,9,7,5,5,1.000000
gnp,7,8,4,4,1.000000
gnp,16,94,3,3,1.000000
gnp,8,21,2,2,1.000000
gnp,6,12,2,2,1.000000
gnp,11,35,4,4,1.000000
gnp,6,4,4,4,1.000000
gnp,13,58,3,3,1.000000
gnp,8,8,5,5,1.000000
gnp,11,28,4,4,1.000000
gnp,7,6,3,3,1.000000
gnp,9,32,2,2,1.000000
gnp,9,21,3,3,1.000000
gnp,13,56,3,3,1.000000
gnp,9,4,6,6,1.000000
gnp,15,44,6,6,1.000000
gnp,14,66,4,4,1.000000
gnp,6,8,3,3,1.000000
gnp,15,73,4,4,1.000000
gnp,9,14,4,4,1.000000
gnp,15,43,6,6,1.000000
gnp,9,10,5,5,1.000000
gnp,16,77,4,4,1.000000
gnp,9,26,3,3,1.000000
gnp,14,55,4,4,1.000000
gnp,6,8,3,3,1.000000
gnp,9,21,4,4,1.000000
gnp,8,9,5,5,1.000000
gnp,7,8,4,4,1.000000
gnp,13,24,6,6,1.000000
gnp,14,80,3,3,1.000000
gnp,14,26,7,7,1.000000
gnp,7,13,3,3,1.000000
gnp,9,14,5,5,1.000000
gnp,6,9,3,3,1.000000
gnp,12,14,6,6,1.000000
gnp,14,54,4,4,1.000000
gnp,7,17,2,2,1.000000
gnp,16,97,3,3,1.000000
gnp,10,18,5,5,1.000000
gnp,12,30,5,5,1.000000
gnp,13,62,3,3,1.000000
gnp,8,1,7,7,1.000000
gnp,8,7,5,5,1.000000
gnp,14,17,8,8,1.000000
gnp,15,37,5,5,1.000000
gnp,11,31,4,4,1.000000
gnp,16,109,3,3,1.000000
gnp,8,19,3,3,1.000000
gnp,12,18,6,6,1.000000
gnp,15,86,3,3,1.000000
gnp,9,18,4,4,1.000000
gnp,12,18,7,7,1.000000
gnp,9,8,6,6,1.000000
gnp,14,20,7,7,1.000000
gnp,16,81,4,4,1.000000
gnp,7,17,2,2,1.000000
gnp,13,50,4,4,1.000000
gnp,14,73,2,2,1.000000
gnp,16,57,5,5,1.000000
gnp,6,13,2,2,1.000000
gnp,9,22,4,4,1.000000
gnp,12,49,3,3,1.000000
gnp,16,54,6,6,1.000000
gnp,16,49,6,6,1.000000
gnp,11,40,3,3,1.000000
gnp,6,2,5,5,1.000000
gnp,15,28,7,7,1.000000
gnp,16,71,4,4,1.000000
gnp,7,10,3,3,1.000000
gnp,7,2,5,5,1.000000
gnp,11,18,6,6,1.000000
gnp,15,82,3,3,1.000000
gnp,15,70,4,4,1.000000
gnp,15,39,6,6,1.000000
gnp,11,39,3,3,1.000000
gnp,13,53,4,4,1.000000
gnp,6,4,4,4,1.000000
gnp,8,14,4,4,1.000000
gnp,15,80,3,3,1.000000
gnp,7,1,6,6,1.000000
gnp,8,9,4,4,1.000000
gnp,15,36,6,6,1.000000
gnp,15,40,6,6,1.000000
gnp,12,6,8,8,1.000000
gnp,9,8,5,5,1.000000
gnp,13,63,3,3,1.000000
gnp,7,16,2,2,1.000000
gnp,8,11,4,4,1.000000
gnp,16,81,4,4,1.000000
gnp,11,37,3,3,1.000000
gnp,16,71,4,4,1.000000
gnp,9,28,2,2,1.000000
gnp,16,74,4,4,1.000000
gnp,9,10,5,5,1.000000
gnp,16,83,4,4,1.000000
gnp,10,12,6,6,1.000000
gnp,8,10,4,4,1.000000
gnp,6,5,4,4,1.000000
gnp,11,39,3,3,1.000000
gnp,13,57,3,3,1.000000
gnp,10,24,4,4,1.000000
gnp,10,27,4,4,1.000000
gnp,6,3,4,4,1.000000
gnp,12,31,4,4,1.000000
gnp,13,34,4,4,1.000000
gnp,15,46,5,5,1.000000
gnp,7,11,3,3,1.000000
gnp,12,52,3,3,1.000000
gnp,6,3,4,4,1.000000
gnp,6,2,5,5,1.000000
gnp,11,16,5,5,1.000000
gnp,13,25,6,6,1.000000
gnp,10,18,5,5,1.000000
gnp,13,40,4,4,1.000000
gnp,16,55,5,5,1.000000
gnp,8,13,4,4,1.000000
gnp,9,7,6,6,1.000000
gnp,11,33,3,3,1.000000
gnp,8,7,4,4,1.000000
gnp,8,15,3,3,1.000000
gnp,12,40,3,3,1.000000
gnp,10,13,5,5,1.000000
gnp,11,29,4,4,1.000000
gnp,15,42,6,6,1.000000
gnp,12,41,3,3,1.000000
gnp,10,36,2,2,1.000000
gnp,10,25,3,3,1.000000
gnp,10,36,3,3,1.000000
gnp,15,28,8,8,1.000000
gnp,15,35,6,6,1.000000
gnp,10,26,4,4,1.000000
gnp,9,21,3,3,1.000000
gnp,12,24,5,5,1.000000
gnp,8,8,4,4,1.000000
gnp,14,47,4,4,1.000000
gnp,9,28,3,3,1.000000
gnp,7,7,4,4,1.000000
gnp,6,14,2,2,1.000000
gnp,8,6,5,5,1.000000
gnp,7,15,2,2,1.000000
gnp,13,29,6,6,1.000000
gnp,9,16,4,4,1.000000
gnp,11,15,6,6,1.000000
gnp,8,5,5,5,1.000000
gnp,6,9,3,3,1.000000
gnp,10,19,3,4,1.333333
gnp,8,18,3,3,1.000000
gnp,15,21,8,8,1.000000
gnp,8,18,3,3,1.000000
gnp,7,5,4,4,1.000000
gnp,9,27,3,3,1.000000
gnp,11,46,3,3,1.000000
gnp,14,61,3,3,1.000000
gnp,9,16,5,5,1.000000
gnp,16,71,4,4,1.000000
gnp,6,10,2,2,1.000000
gnp,7,19,2,2,1.000000
gnp,7,10,4,4,1.000000
gnp,14,24,7,7,1.000000
gnp,11,23,5,5,1.000000
gnp,7,3,5,5,1.000000
gnp,6,10,2,2,1.000000
gnp,8,10,4,4,1.000000
gnp,8,23,2,2,1.000000
gnp,6,13,2,2,1.000000
gnp,10,26,4,4,1.000000
gnp,10,25,3,3,1.000000
gnp,6,4,4,4,1.000000
gnp,15,44,5,5,1.000000
gnp,14,64,4,4,1.000000
gnp,14,67,3,3,1.000000
gnp,8,16,3,3,1.000000
gnp,12,47,3,3,1.000000
gnp,8,23,2,2,1.000000
gnp,16,67,4,4,1.000000
gnp,13,63,3,3,1.000000
gnp,13,26,6,6,1.000000
gnp,10,14,5,5,1.000000
gnp,6,5,4,4,1.000000
gnp,6,4,4,4,1.000000
gnp,12,26,5,5,1.000000
gnp,13,44,4,4,1.000000
gnp,9,8,5,5,1.000000
gnp,15,72,4,4,1.000000
gnp,8,3,6,6,1.000000
gnp,12,40,3,3,1.000000
gnp,9,12,5,5,1.000000
gnp,9,4,6,6,1.000000
gnp,10,28,3,3,1.000000
gnp,7,16,2,2,1.000000
gnp,16,99,3,3,1.000000
gnp,11,48,2,2,1.000000
gnp,13,56,3,3,1.000000
gnp,13,47,4,4,1.000000
gnp,11,22,6,6,1.000000
gnp,8,7,5,5,1.000000
gnp,9,7,6,6,1.000000
gnp,9,21,4,4,1.000000
gnp,13,21,7,7,1.000000
gnp,9,14,4,4,1.000000
gnp,6,3,3,3,1.000000
gnp,13,21,6,6,1.000000
gnp,7,8,4,4,1.000000
gnp,8,19,3,3,1.000000
gnp,10,8,7,7,1.000000
gnp,6,6,3,3,1.000000
gnp,10,26,4,4,1.000000
gnp,7,14,2,2,1.000000
gnp,16,67,4,4,1.000000
gnp,11,39,3,3,1.000000
gnp,7,12,3,3,1.000000
gnp,10,5,7,7,1.000000
gnp,16,61,5,5,1.000000
gnp,8,14,3,3,1.000000
gnp,16,21,9,9,1.000000
gnp,8,9,4,4,1.000000
gnp,15,72,4,4,1.000000
gnp,12,32,5,5,1.000000
gnp,10,33,3,3,1.000000
gnp,9,18,3,3,1.000000
gnp,13,38,5,5,1.000000
gnp,8,10,4,4,1.000000
gnp,7,18,2,2,1.000000
gnp,14,38,5,5,1.000000
gnp,9,24,3,3,1.000000
gnp,15,20,7,7,1.000000
gnp,13,61,3,3,1.000000
gnp,10,25,4,4,1.000000
gnp,15,38,6,6,1.000000
gnp,15,81,3,3,1.000000
gnp,11,15,5,5,1.000000
gnp,7,10,3,3,1.000000
gnp,8,5,5,5,1.000000
gnp,12,47,3,3,1.000000
gnp,9,18,3,3,1.000000
gnp,8,7,4,4,1.000000
gnp,8,5,5,5,1.000000
gnp,8,13,4,4,1.000000
gnp,16,87,4,4,1.000000
gnp,9,27,3,3,1.000000
gnp,14,63,4,4,1.000000
gnp,10,19,4,4,1.000000
gnp,6,3,4,4,1.000000
gnp,14,54,5,5,1.000000
gnp,6,5,4,4,1.000000
gnp,8,3,6,6,1.000000
gnp,15,64,4,4,1.000000
gnp,7,11,3,3,1.000000
gnp,9,25,3,3,1.000000
gnp,13,29,6,6,1.000000
gnp,12,31,4,4,1.000000
gnp,8,27,2,2,1.000000
gnp,12,24,5,5,1.000000
gnp,13,60,3,3,1.000000
gnp,11,36,3,3,1.000000
gnp,11,36,4,4,1.000000
gnp,12,14,7,7,1.000000
gnp,11,28,5,5,1.000000
gnp,15,14,9,9,1.000000
gnp,15,72,4,4,1.000000
gnp,8,12,4,4,1.000000
gnp,7,7,4,4,1.000000
gnp,9,9,6,6,1.000000
gnp,11,38,3,3,1.000000
gnp,9,21,4,4,1.000000
gnp,16,81,3,3,1.000000
gnp,16,52,5,5,1.000000
gnp,16,87,3,3,1.000000
gnp,6,8,3,3,1.000000
gnp,11,38,3,3,1.000000
gnp,16,78,4,4,1.000000
gnp,7,9,3,3,1.000000
gnp,9,19,4,4,1.000000
gnp,6,6,4,4,1.000000
gnp,8,7,4,4,1.000000
gnp,8,21,2,2,1.000000
gnp,8,15,3,3,1.000000
gnp,10,20,4,4,1.000000
gnp,11,26,4,4,1.000000
gnp,14,42,5,5,1.000000
gnp,12,22,5,5,1.000000
gnp,7,13,3,3,1.000000
gnp,14,42,5,5,1.000000
gnp,12,30,4,4,1.000000
gnp,8,21,2,2,1.000000
gnp,6,9,3,3,1.000000
gnp,15,84,3,3,1.000000
gnp,13,46,4,4,1.000000
gnp,9,25,3,3,1.000000
gnp,12,36,5,5,1.000000
gnp,12,42,3,3,1.000000
gnp,15,51,4,4,1.000000
gnp,9,12,4,4,1.000000
gnp,7,13,3,3,1.000000
gnp,8,7,5,5,1.000000
gnp,8,4,5,5,1.000000
gnp,6,8,2,2,1.000000
gnp,14,29,6,6,1.000000
gnp,10,32,3,3,1.000000
gnp,7,13,3,3,1.000000
gnp,8,22,3,3,1.000000
gnp,15,63,4,4,1.000000
gnp,15,62,4,4,1.000000
gnp,16,33,7,7,1.000000
gnp,7,11,4,4,1.000000
gnp,6,5,4,4,1.000000
gnp,12,29,5,5,1.000000
gnp,6,4,4,4,1.000000
gnp,9,22,3,3,1.000000
gnp,9,21,3,3,1.000000
gnp,7,2,6,6,1.000000
gnp,11,38,3,3,1.000000
gnp,9,24,3,3,1.000000
gnp,14,62,4,4,1.000000
gnp,14,61,3,3,1.000000
gnp,15,23,7,7,1.000000
gnp,6,7,3,3,1.000000
gnp,8,22,3,3,1.000000
gnp,9,23,3,3,1.000000
gnp,14,80,2,2,1.000000
gnp,14,52,5,5,1.000000
gnp,16,85,4,4,1.000000
gnp,9,29,2,2,1.000000
gnp,7,11,3,3,1.000000
gnp,16,102,3,3,1.000000
gnp,8,12,4,4,1.000000
gnp,9,15,4,4,1.000000
gnp,7,3,5,5,1.000000
gnp,9,7,5,5,1.000000
gnp,9,28,3,3,1.000000
gnp,7,12,3,3,1.000000
gnp,11,42,3,3,1.000000
gnp,15,74,3,3,1.000000
gnp,14,42,5,5,1.000000
gnp,12,53,3,3,1.000000
gnp,13,32,6,6,1.000000
gnp,12,43,3,3,1.000000
gnp,15,25,8,8,1.000000
gnp,16,86,4,4,1.000000
gnp,7,15,2,2,1.000000
gnp,15,49,5,5,1.000000
gnp,7,12,3,3,1.000000
gnp,11,48,2,2,1.000000
gnp,15,85,3,3,1.000000
gnp,14,51,4,4,1.000000
gnp,16,61,6,6,1.000000
gnp,8,17,3,3,1.000000
gnp,11,40,3,3,1.000000
gnp,14,38,5,5,1.000000
gnp,15,81,3,3,1.000000
gnp,8,10,5,5,1.000000
gnp,10,33,3,3,1.000000
gnp,11,22,4,4,1.000000
gnp,16,52,6,6,1.000000
gnp,13,60,3,3,1.000000
gnp,15,75,3,3,1.000000
gnp,13,34,5,5,1.000000
gnp,8,20,2,2,1.000000
gnp,12,39,4,4,1.000000
gnp,7,15,2,2,1.000000
gnp,13,11,7,7,1.000000
gnp,14,62,3,3,1.000000
gnp,10,28,4,4,1.000000
gnp,10,21,4,4,1.000000
gnp,12,20,5,5,1.000000
gnp,15,72,3,3,1.000000
gnp,7,6,4,4,1.000000
gnp,10,32,4,4,1.000000
gnp,9,19,4,4,1.000000
gnp,12,22,6,6,1.000000
gnp,10,13,5,5,1.000000
gnp,15,32,6,6,1.000000
gnp,6,5,3,3,1.000000
gnp,7,16,2,2,1.000000
gnp,8,14,4,4,1.000000
gnp,6,7,3,3,1.000000
gnp,14,50,5,5,1.000000
gnp,6,8,3,3,1.000000
gnp,10,22,3,3,1.000000
gnp,11,29,4,4,1.000000
gnp,6,11,2,2,1.000000
gnp,16,82,3,3,1.000000
gnp,13,32,4,4,1.000000
gnp,15,56,4,4,1.000000
gnp,10,31,3,3,1.000000
gnp,14,32,5,5,1.000000
gnp,6,4,4,4,1.000000
gnp,11,39,3,3,1.000000
gnp,6,6,4,4,1.000000
gnp,12,44,3,3,1.000000
gnp,7,8,3,3,1.000000
gnp,16,36,7,7,1.000000
gnp,12,21,5,5,1.000000
gnp,15,31,7,7,1.000000
gnp,14,51,4,4,1.000000
gnp,12,31,4,4,1.000000
gnp,14,60,3,3,1.000000
gnp,16,22,8,8,1.000000
gnp,8,15,3,3,1.000000
gnp,6,3,4,4,1.000000
gnp,12,23,5,5,1.000000
gnp,6,6,3,3,1.000000
gnp,10,39,2,2,1.000000
gnp,8,17,3,3,1.000000
gnp,12,32,5,5,1.000000
gnp,12,41,3,3,1.000000
gnp,11,14,5,5,1.000000
gnp,12,16,6,6,1.000000
gnp,7,5,4,4,1.000000
gnp,15,52,5,5,1.000000
gnp,8,12,3,3,1.000000
gnp,8,8,5,5,1.000000
gnp,7,12,3,3,1.000000
gnp,9,13,4,4,1.000000
gnp,13,53,3,3,1.000000
gnp,13,26,6,6,1.000000
gnp,10,20,4,4,1.000000
gnp,11,38,3,3,1.000000
gnp,11,15,5,5,1.000000
gnp,14,31,6,6,1.000000
gnp,13,58,3,3,1.000000
gnp,10,25,4,4,1.000000
gnp,9,5,6,6,1.000000
gnp,6,13,2,2,1.000000
gnp,8,24,2,2,1.000000
gnp,7,18,2,2,1.000000
gnp,9,30,2,2,1.000000
gnp,16,97,3,3,1.000000
gnp,8,10,4,4,1.000000
gnp,14,58,4,4,1.000000
gnp,15,37,6,6,1.000000
gnp,16,46,6,6,1.000000
gnp,8,12,3,3,1.000000
gnp,8,18,3,3,1.000000
gnp,8,17,3,3,1.000000
gnp,7,12,3,3,1.000000
gnp,13,34,5,5,1.000000
gnp,13,13,7,7,1.000000
gnp,6,7,3,3,1.000000
gnp,11,25,5,5,1.000000
gnp,10,25,3,3,1.000000
gnp,10,25,4,4,1.000000
gnp,16,32,7,7,1.000000
gnp,10,20,4,4,1.000000
gnp,7,15,2,2,1.000000
gnp,7,10,3,3,1.000000
gnp,15,58,4,4,1.000000
gnp,10,34,3,3,1.000000
gnp,6,3,4,4,1.000000
gnp,14,48,4,4,1.000000
gnp,9,9,5,5,1.000000
gnp,12,11,8,8,1.000000
gnp,9,12,4,4,1.000000
gnp,12,49,3,3,1.000000
gnp,14,48,4,4,1.000000
gnp,14,19,7,7,1.000000
gnp,13,42,4,4,1.000000
gnp,6,4,4,4,1.000000
gnp,8,10,4,4,1.000000
gnp,11,18,5,5,1.000000
gnp,10,13,6,6,1.000000
gnp,11,42,3,3,1.000000
gnp,14,15,7,7,1.000000
gnp,11,30,3,3,1.000000
gnp,9,14,5,5,1.000000
gnp,13,13,7,7,1.000000
gnp,13,43,4,4,1.000000
gnp,15,82,3,3,1.000000
gnp,10,12,5,5,1.000000
gnp,8,15,3,3,1.000000
gnp,12,38,4,4,1.000000
gnp,10,42,2,2,1.000000
gnp,6,10,2,2,1.000000
gnp,6,3,4,4,1.000000
gnp,13,17,7,7,1.000000
gnp,14,68,3,3,1.000000
gnp,8,4,6,6,1.000000
gnp,14,47,5,5,1.000000
gnp,10,10,6,6,1.000000
gnp,12,23,4,5,1.250000
gnp,15,62,4,4,1.000000
gnp,15,53,4,4,1.000000
gnp,14,74,3,3,1.000000
gnp,13,37,4,4,1.000000
gnp,14,19,7,7,1.000000
gnp,15,33,6,6,1.000000
gnp,7,12,3,3,1.000000
gnp,14,55,4,4,1.000000
gnp,8,9,4,4,1.000000
gnp,16,67,5,5,1.000000
gnp,7,10,3,3,1.000000
gnp,15,56,5,5,1.000000
gnp,11,41,3,3,1.000000
gnp,9,15,3,4,1.333333
gnp,14,77,3,3,1.000000
gnp,7,4,4,4,1.000000
gnp,16,16,10,10,1.000000
gnp,12,51,3,3,1.000000
gnp,7,17,2,2,1.000000
gnp,14,17,7,7,1.000000
gnp,15,14,10,10,1.000000
gnp,15,61,4,4,1.000000
gnp,7,8,3,3,1.000000
gnp,11,23,5,5,1.000000
gnp,12,43,3,3,1.000000
gnp,11,10,6,6,1.000000
gnp,14,40,5,5,1.000000
gnp,13,65,3,3,1.000000
gnp,16,35,7,7,1.000000
gnp,16,52,6,6,1.000000
gnp,7,16,2,2,1.000000
gnp,6,6,4,4,1.000000
gnp,15,91,3,3,1.000000
gnp,8,21,3,3,1.000000
gnp,11,16,6,6,1.000000
gnp,6,11,2,2,1.000000
gnp,14,68,3,3,1.000000
gnp,6,6,3,3,1.000000
gnp,8,6,5,5,1.000000
gnp,9,10,6,6,1.000000
gnp,14,50,5,5,1.000000
gnp,12,17,6,6,1.000000
gnp,7,5,4,4,1.000000
gnp,14,48,5,5,1.000000
gnp,15,31,6,6,1.000000
gnp,9,24,3,3,1.000000
gnp,6,8,3,3,1.000000
gnp,12,12,7,7,1.000000
gnp,13,44,4,4,1.000000
gnp,16,39,6,6,1.000000
gnp,12,20,6,6,1.000000
gnp,15,25,8,8,1.000000
gnp,7,2,6,6,1.000000
gnp,9,21,3,3,1.000000
gnp,16,29,7,7,1.000000
gnp,13,34,5,5,1.000000
gnp,6,11,2,2,1.000000
gnp,16,48,6,6,1.000000
gnp,11,47,3,3,1.000000
gnp,8,16,3,3,1.000000
gnp,10,7,7,7,1.000000
gnp,7,3,5,5,1.000000
gnp,15,89,3,3,1.000000
gnp,11,27,4,4,1.000000
gnp,11,33,4,4,1.000000
gnp,12,49,3,3,1.000000
gnp,11,44,2,2,1.000000
gnp,9,22,3,3,1.000000
gnp,8,14,3,3,1.000000
gnp,6,6,4,4,1.000000
gnp,12,17,6,6,1.000000
gnp,14,68,3,3,1.000000
gnp,16,47,6,6,1.000000
gnp,13,12,7,7,1.000000
gnp,15,39,6,6,1.000000
gnp,6,7,3,3,1.000000
gnp,12,31,5,5,1.000000
gnp,16,94,3,3,1.000000
gnp,15,29,7,7,1.000000
gnp,15,64,4,4,1.000000
gnp,11,40,3,3,1.000000
gnp,7,17,2,2,1.000000
gnp,11,25,4,4,1.000000
gnp,8,21,2,2,1.000000
gnp,13,26,5,5,1.000000
gnp,6,6,4,4,1.000000
gnp,14,70,3,3,1.000000
gnp,7,19,2,2,1.000000
gnp,6,3,4,4,1.000000
gnp,15,55,4,4,1.000000
gnp,14,47,4,4,1.000000
gnp,13,45,4,4,1.000000
gnp,14,21,7,7,1.000000
gnp,9,16,4,4,1.000000
gnp,13,9,8,8,1.000000
gnp,7,7,4,4,1.000000
gnp,15,17,8,8,1.000000
gnp,11,18,4,4,1.000000
gnp,6,5,4,4,1.000000
gnp,12,20,6,6,1.000000
gnp,8,20,3,3,1.000000
gnp,7,12,2,2,1.000000
gnp,9,28,3,3,1.000000
gnp,16,53,5,5,1.000000
gnp,8,5,6,6,1.000000
gnp,7,2,6,6,1.000000
gnp,15,74,3,3,1.000000
gnp,7,13,3,3,1.000000
gnp,10,17,4,4,1.000000
gnp,14,51,4,4,1.000000
gnp,15,44,5,5,1.000000
gnp,7,18,2,2,1.000000
gnp,8,20,3,3,1.000000
gnp,6,9,2,2,1.000000
gnp,8,23,3,3,1.000000
gnp,15,39,6,6,1.000000
gnp,8,12,4,4,1.000000
gnp,10,31,3,3,1.000000
gnp,10,5,7,7,1.000000
gnp,8,8,5,5,1.000000
gnp,14,70,3,3,1.000000
gnp,6,5,4,4,1.000000
gnp,14,52,4,4,1.000000
gnp,9,8,6,6,1.000000
gnp,8,12,3,3,1.000000
gnp,16,29,7,7,1.000000
gnp,6,5,3,3,1.000000
gnp,9,14,4,4,1.000000
gnp,8,5,5,5,1.000000
gnp,9,16,4,4,1.000000
gnp,6,6,3,3,1.000000
gnp,15,37,6,6,1.000000
gnp,7,7,4,4,1.000000
gnp,11,45,2,2,1.000000
gnp,6,10,3,3,1.000000
gnp,15,51,5,5,1.000000
