family,n,m,alg,opt,ratio
gnp,10,34,3,3,1.000000
gnp,6,11,2,2,1.000000
gnp,11,16,6,6,1.000000
gnp,16,22,8,8,1.000000
gnp,9,9,6,6,1.000000
gnp,15,31,6,6,1.000000
gnp,13,50,4,4,1.000000
gnp,13,55,3,3,1.000000
gnp,8,11,4,4,1.000000
gnp,8,20,3,3,1.000000
gnp,15,17,9,9,1.000000
gnp,15,66,4,4,1.000000
gnp,12,56,2,2,1.000000
gnp,7,14,3,3,1.000000
gnp,7,14,3,3,1.000000
gnp,16,66,4,4,1.000000
gnp,15,72,3,3,1.000000
gnp,14,39,5,5,1.000000
gnp,7,10,3,3,1.000000
gnp,6,11,2,2,1.000000
gnp,7,8,3,3,1.000000
gnp,16,84,3,3,1.000000
gnp,8,17,3,3,1.000000
gnp,15,83,3,3,1.000000
gnp,13,45,3,3,1.000000
gnp,11,30,4,4,1.000000
gnp,10,36,3,3,1.000000
gnp,13,41,4,4,1.000000
gnp,11,8,7,7,1.000000
gnp,8,12,4,4,1.000000
gnp,10,18,4,4,1.000000
gnp,14,11,10,10,1.000000
gnp,7,5,4,4,1.000000
gnp,13,42,4,4,1.000000
gnp,13,46,4,4,1.000000
gnp,13,56,3,3,1.000000
gnp,10,12,5,5,1.000000
gnp,10,27,3,3,1.000000
gnp,13,44,5,5,1.000000
gnp,12,57,3,3,1.000000
gnp,11,33,3,3,1.000000
gnp,10,15,5,5,1.000000
gnp,9,16,4,4,1.000000
gnp,9,13,4,4,1.000000
gnp,10,27,3,3,1.000000
gnp,7,15,2,2,1.000000
gnp,9,17,4,4,1.000000
gnp,6,13,2,2,1.000000
gnp,10,7,6,6,1.000000
gnp,14,25,6,6,1.000000
gnp,16,93,3,3,1.000000
gnp,7,17,2,2,1.000000
gnp,13,36,4,4,1.000000
gnp,8,26,2,2,1.000000
gnp,13,14,8,8,1.000000
gnp,12,33,4,4,1.000000
gnp,8,11,4,4,1.000000
gnp,7,18,2,2,1.000000
gnp,14,57,4,4,1.000000
gnp,14,43,4,4,1.000000
gnp,10,37,3,3,1.000000
gnp,10,30,3,3,1.000000
gnp,15,82,3,3,1.000000
gnp,9,21,3,3,1.000000
gnp,16,26,9,9,1.000000
gnp,8,14,3,3,1.000000
gnp,6,9,3,3,1.000000
gnp,10,7,6,6,1.000000
gnp,10,36,2,2,1.000000
gnp,7,10,3,3,1.000000
gnp,16,65,4,4,1.000000
gnp,12,9,7,7,1.000000
gnp,16,37,6,6,1.000000
gnp,8,4,6,6,1.000000
gnp,10,19,4,4,1.000000
gnp,13,14,7,7,1.000000
gnp,12,54,2,2,1.000000
gnp,13,14,8,8,1.000000
gnp,12,44,3,3,1.000000
gnp,6,6,3,3,1.000000
gnp,16,87,3,3,1.000000
gnp,8,15,3,3,1.000000
gnp,10,12,5,5,1.000000
gnp,16,84,3,3,1.000000
gnp,13,35,5,5,1.000000
gnp,11,34,4,4,1.000000
gnp,11,20,5,5,1.000000
gnp,10,31,3,3,1.000000
gnp,14,16,7,7,1.000000
gnp,11,18,5,5,1.000000
gnp,12,52,3,3,1.000000
gnp,16,94,3,3,1.000000
